"rxns","metabolite","n0","n5","c0","c5","log2FC_0","log2FC_5","label_flag"
"EX_lneldc[e]","(6Z,9Z)-octadecadienoic acid",0.000765775,0.000127685,0.000827359,0.001317213,0.111452848471824,3.35666770068998,FALSE
"EX_lnlncg[e]","gamma-linolenate",0.036757217,0.006128888,0.03971321,0.063226209,0.111588516588283,3.36661291731672,FALSE
"EX_lpchol_hs[e]","2-lysolecithin pool",0,0,0,0,0,0,FALSE
"EX_nrvnc[e]","nervonic acid",0.002295183,0.00038147,0.002479098,0,0.111159503453576,-8.5792027805902,TRUE
"EX_ocdca[e]","stearate",0.789514398,0.1316434,0.853006655,1.358046289,0.11159128514218,3.36681565977469,FALSE
"EX_ocdcea[e]","oleate",2.868594504,0.478308611,3.099285092,4.934278756,0.111591384447711,3.3668228278218,FALSE
"EX_pchol_hs[e]","PC-LD pool",0,0,0,0,0,0,FALSE
"EX_pe_hs[e]","PE-LD pool",0,0,0,0,0,0,FALSE
"EX_ps_hs[e]","PS-LD pool",0,0,0,0,0,0,FALSE
"EX_ptdca[e]","pentadecylic acid",0.022971117,0.003828969,0.024817778,0.039514057,0.111548268677455,3.36699786919098,FALSE
"EX_strdnc[e]","stearidonic acid",0,0,0,0,0,0,FALSE
"EX_tag_hs[e]","TAG-VLDL pool",0,0,0,0,0,0,FALSE
"EX_tethex3[e]","(6Z,9Z,12Z,15Z,18Z,21Z)-THA",0.000765775,0.000127685,0.000824381,0,0.106256928344376,-7.00770008725868,TRUE
"EX_tetpent3[e]","(9Z,12Z,15Z,18Z,21Z)-TPA",0.000761488,0.000124515,0.000824381,0,0.114345595684982,-6.97171597731702,TRUE
"EX_tetpent6[e]","(6Z,9Z,12Z,15Z,18Z)-TPA",0.000765775,0,0,0,-9.58265948979072,0,TRUE
"EX_tettet6[e]","(9Z,12Z,15Z,18Z)-TTA",0.000761488,0,0.000824381,0,0.114345595684982,0,FALSE
"EX_tmndnc[e]","EPA",0,0,0.016547171,0.026344254,14.0143841503556,14.6852554686468,TRUE
"EX_ttdca[e]","myristic acid",0.216714427,0,0.234142467,0.372686944,0.11159092887771,18.5076086248351,TRUE
"EX_vacc[e]","cis-vaccenic acid",0.000765775,0.000127685,0.000827359,0.001317213,0.111452848471824,3.35666770068998,FALSE
"EX_xolest2_hs[e]","cholesterol-ester pool",0,0,0,0,0,0,FALSE
"EX_4abutn[e]","4-aminobutanal",0,0,0,0,0,0,FALSE
"EX_ahdt[e]","6-",0,0,0,0,0,0,FALSE
"EX_ctp[e]","CTP",0,0,0,0,0,0,FALSE
"EX_dgmp[e]","dGMP",0,0,0,0,0,0,FALSE
"EX_dgtp[e]","dGTP",0,0,0,0,0,0,FALSE
"EX_dha[e]","glycerone",0,0,0,0,0,0,FALSE
"EX_dhap[e]","DHAP",0,0,0,0,0,0,FALSE
"EX_dtmp[e]","dTMP",0,0,0,0,0,0,FALSE
"EX_dttp[e]","dTTP",0,0,0,0,0,0,FALSE
"EX_fad[e]","FAD",0,0,0,0,0,0,FALSE
"EX_g1p[e]","glucose-1-phosphate",0,0,0,0,0,0,FALSE
