"rxns","metabolite","log2FC_muscle","log2FC_brain","label_flag"
"EX_CE2510[e]","cis-gondoic acid",0,-8.54632947616599,TRUE
"EX_ddca[e]","lauric acid",0,0,FALSE
"EX_ttdcea[e]","(9E)-tetradecenoic acid",0,0,FALSE
"EX_pcresol[e]","P-Cresol",0,0,FALSE
"EX_ileasnhis[e]","Isoleucyl-Asparaginyl-Histidine",0,0,FALSE
"EX_sphmyln_hs[e]","SM pool",0,0,FALSE
"EX_acgal[e]","N-acetylgalactosamine",0,0,FALSE
"EX_acnam[e]","N-acetylneuraminate",0,0,FALSE
"EX_ppi[e]","PPi",0,0,FALSE
"EX_nh4[e]","NH4+",0,0,FALSE
"EX_ptrc[e]","putrescine",0,0,FALSE
"EX_spmd[e]","spermidine",0,0,FALSE
"EX_phpyr[e]","phenylpyruvate",-1.15266374223211e-09,1.80403159077969e-09,FALSE
"EX_tym[e]","tyramine",0,0,FALSE
"EX_2hyoxplac[e]","2-hydroxyphenylacetate",0,0,FALSE
"EX_CE7090[e]","(18R)-HEPE",0,0,FALSE
"EX_CE7085[e]","5(S)-HEPE",0,0,FALSE
"EX_CE4877[e]","15-deoxy-prostaglandin J2",0,0,FALSE
"EX_CE1447[e]","11-dehydro-thromboxane B2",0,-8.67512575934956,TRUE
"EX_trypta[e]","tryptamine",0,0,FALSE
"EX_mhista[e]","N-methylhistamine",0,0,FALSE
"EX_13dampp[e]","1,3-diaminopropane",0,0,FALSE
"EX_sphings[e]","sphingosine",0,0,FALSE
"EX_hdd2crn[e]","hexadecenoylcarnitine(9)",0,0,FALSE
"EX_mlthf[e]","5,10-methylene-THF",11.1450503127876,-11.145050312491,TRUE
"EX_CE2705[e]","quinonoid dihydrobiopterin",0,0,FALSE
"EX_selmeth[e]","selenomethionine",0,0,FALSE
"EX_N1aspmd[e]","N1-acetylspermidine",0,0,FALSE
"EX_1a25dhvitd3[e]","calcitriol",0,0,FALSE
"EX_coke[e]","cocaine",0,0,FALSE
"EX_dopa4glcur[e]","Dopamine-4-O-Glucuronide",0,0,FALSE
"EX_dopa3glcur[e]","Dopamine-3-O-Glucuronide",0,0,FALSE
"EX_CE5025[e]","5-S-glutathionyl-dopamine",0,0,FALSE
"EX_gd3_hs[e]","GD3",0,0,FALSE
"EX_gluside_hs[e]","glucosylceramide pool",0,0,FALSE
"EX_gm3_hs[e]","GM3",0,0,FALSE
"EX_gd2_hs[e]","GD2",0,0,FALSE
"EX_gd1a_hs[e]","GD1a",0,0,FALSE
"EX_ca3s[e]","Cholic acid 3-sulfate",0,0,FALSE
"EX_dca3s[e]","Deoxycholic acid 3-sulfate",0,0,FALSE
"EX_gca3s[e]","Glycocholic acid 3-sulfate",0,0,FALSE
"EX_gcdca3s[e]","Glycochenodeoxycholic acid 3-sulfate",0,0,FALSE
"EX_gdca3s[e]","Glycodeoxycholic acid 3-sulfate",0,0,FALSE
"EX_gudca3s[e]","Glycoursodeoxycholic acid 3-sulfate",0,0,FALSE
"EX_lca3s[e]","Lithocholic acid 3-sulfate",0,0,FALSE
"EX_tca3s[e]","Taurocholic acid 3-sulfate",0,0,FALSE
"EX_tcdca3s[e]","Taurochenodeoxycholic acid 3-sulfate",0,0,FALSE
"EX_tdca3s[e]","Taurodeoxycholic acid 3-sulfate",0,0,FALSE
"EX_tudca3s[e]","Tauroursodeoxycholic acid 3-sulfate",0,0,FALSE
"EX_udca3s[e]","Ursodeoxycholic acid 3-sulfate",0,0,FALSE
"EX_2hatvacid[e]","2-hydroxy-atorvastatin-acid / ortho-hydroxy-atorvastatin acid",0,0,FALSE
