,msp_0005,msp_0166,msp_0313,msp_0380,msp_0570,msp_0573,msp_0627,msp_0881,msp_0884,msp_1219,msp_1782,msp_1786,msp_1787,msp_1788,msp_1793,msp_1799
GutSample86,0.000137911,0.00741337,0.00075087,0.00242983,0.000167716,0,0,0.0005776,0,0.000450371,0,0,0,0,0,0
GutSample87,0.000205734,0.007520407,0,0.00098061,0,0,0,0.003577581,0,0.000654678,0,0,0,0,0,0
GutSample88,0,0.009789233,0,0.000707886,0,0,0,0,0,0,0,0,0,0,0,0
GutSample89,0.003561721,0.000284801,0.000272607,0.000910414,0,0,0,0.00107922,0,0.000962514,0,0,0,0,0,0
GutSample90,0,0.015829007,0.001408923,0.005908607,0,0.000812444,0,0.004252029,0.002739092,0.003322932,0,0,0,0,0,0
GutSample91,0.009473652,0.006317601,0.000350977,0,0,0,0,0,0,0.000293183,0,0,0,0,0,0
GutSample92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GutSample93,0.00466121,0.001491029,0,0.000281172,0,0.000237466,0,0,0,0,0,0,0,0,0,0
GutSample94,9.41E-05,0.00282548,0,0.000126618,5.52E-05,0,0,0,0,0,0,0,0,0,0,0
GutSample95,0,0.00033768,0,0.0003603,0,0,0,0,0,0,0,0,0,0,0,0
GutSample96,0.000163612,0.015960761,0,0.001217389,0,0.003515131,0,0,0,0.000330714,0,0,0,0,0,0
GutSample97,0.000546894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GutSample98,0.000165216,0.014026171,0.000256951,0.002858536,0,0.000233432,0,0.001599829,0.000578138,0.000994283,0,0,0,0,0,0
GutSample99,0.014556865,0.035631126,0.000214255,0.000847424,0,0.000306341,5.87E-05,0.001032925,3.57E-05,0,0,0,0,0,0,0
GutSample100,4.89E-05,0.007528034,0.000196334,0.000622014,0.000159369,0.000895721,0,8.87E-05,2.49E-05,1.20E-05,0,0,0,0,0,0
GutSample101,0.005937678,0.001223242,0,0.000599268,0,0.000205851,0,0,0,0,0,0,0,0,0,0
GutSample102,0.000177838,0.000218862,0,6.76E-05,0,2.03E-05,0,0,0,0,0,0,0,0,0,0
GutSample103,0.012377108,0.000104683,0,0.000133221,0,0.000386073,0,0,0,0,0,0,0,0,0,0
GutSample104,0.001185041,0.003352257,0.000424709,0.002046823,5.79E-05,9.11E-05,0,0.00172792,0.000205009,0.001076457,0,0,0,0,0,0
GutSample105,0.0014739,0.007253058,0,0.004039539,1.02E-05,3.78E-05,0,0,1.95E-05,0,0,0,0,0,0,0
GutSample106,0.001390818,0.001964764,0.000977163,0.000495804,1.52E-05,3.12E-05,0,0.000304103,0.000152874,2.50E-05,0,0,0,0,0,0
GutSample107,0.011026911,0.000732319,2.30E-05,0.008938132,0.001385,1.36E-05,0,4.68E-05,3.42E-05,2.43E-05,0,0,0,0,0,0
GutSample108,0,0.020426984,1.45E-05,0.001244629,0.000125914,0.001296432,0,8.58E-05,0,5.60E-05,0,0,0,0,0,0
GutSample109,0,0.008665375,7.08E-05,0.002218002,0,0.000499267,0,0,1.37E-05,0,0,0,0,0,0,0
GutSample110,0.000155195,0.000354133,5.40E-05,0.000644206,1.12E-05,1.03E-05,0,0,1.53E-05,0,0,0,0,0,0,0
GutSample111,0.000825035,0.012320865,0.000468733,0.007567922,1.65E-05,0.000132432,0,0.001374868,5.71E-05,0,0,0,0,0,0,0
GutSample112,0,0.013013718,7.99E-05,0.000244405,0,2.36E-05,0,0.000267823,0,0.000110483,0,0,0,0,0,0
GutSample113,0.05864934,0.003937909,0,0.001073986,1.44E-05,0.000678894,0,0,0,0,0,0,0,0,0,0
GutSample114,9.15E-05,0.002982556,0.00010114,0.000343281,0,0.000339464,0,0,0,0.000145782,0,0,0,0,0,0
GutSample115,3.78E-05,0.010335873,0.000260617,8.38E-05,0,0,3.68E-05,8.76E-05,1.02E-05,0.000111836,0,0,0,0,0,0
GutSample116,0.00019047,0.002443921,0.0001258,0.000432134,6.69E-05,0,0,8.47E-05,3.88E-05,2.43E-05,0,0,0,0,0,0
GutSample117,0.000212342,0.059233723,3.20E-05,0.000989019,0,0.000136006,0,0,5.41E-05,0,0,0,0,0,0,0
GutSample118,0.000309515,0.005169824,1.66E-05,0.000219923,0,0.00018557,0,0.000104102,2.36E-05,0,0,0,0,0,0,0
GutSample119,0.078768002,0.000107467,5.36E-05,0.000454819,0,9.67E-05,0,8.63E-05,6.01E-05,0.000126517,0,0,0,0,0,0
GutSample120,0,0.005295815,0,0.001760162,0.000207238,7.14E-05,0,6.21E-05,0,0,0,0,0,0,0,0
GutSample121,0.001652257,0.000647399,3.52E-05,0.000169582,0,0,0,0,5.03E-05,0,0,0,0,0,0,0
GutSample122,3.84E-05,0.000250689,8.29E-05,0.000632378,8.91E-05,0.000142295,0,0.000100615,0.000227326,0,0,0,0,0,0,1.67E-05
GutSample123,2.03E-05,0,4.00E-05,0.000195031,0,0.00061538,0,3.47E-05,0.000136488,0,0,0,0,2.13E-05,0,0
GutSample124,1.18E-05,0.003661125,0.001153188,0.000155466,1.98E-05,0.000649693,0,0.001278482,0.001406995,9.41E-05,0,0,0,0,0,0
GutSample125,0.025577333,0.002533766,3.08E-05,4.78E-05,8.20E-06,8.60E-05,0,0,0,0,0,0,0,0,0,0
