rxn,LB,UB
HMR_5299,0.0,3.3898878695404706
HMR_5352,0.0,3.3898878695404706
HMR_6612,-1.9282702336965234,1.9282702336965234
HMR_6623,0.0,2.038502365814949
HMR_6624,0.0,2.5483245276143487
HMR_6627,-2.8263293388647766,2.8263293388647766
HMR_3965,0.0,2.6104873967098006
HMR_3966,0.0,2.8041243920060164
HMR_3967,-4.811140396002265,4.811140396002265
HMR_3968,-1.9282702336965234,1.9282702336965234
HMR_3999,0.0,2.715786763244608
HMR_4024,-4.811140396002265,4.811140396002265
HMR_4026,-2.3737439916162555,2.3737439916162555
HMR_4054,0.0,2.038502365814949
HMR_4061,0.0,2.715786763244608
HMR_4083,0.0,3.905691044810602
HMR_4136,0.0,7.9175954909126744
HMR_4180,0.0,3.3898878695404706
HMR_4185,0.0,4.347980150082139
HMR_4186,0.0,4.347980150082139
HMR_4342,0.0,4.684680315251535
HMR_4483,0.0,2.5483245276143487
HMR_4507,0.0,3.3911649244367092
HMR_4516,0.0,2.4632304594682144
HMR_4601,0.0,3.0801452944048577
HMR_4633,0.0,1.3693991880793484
HMR_4640,0.0,1.9282702336965234
HMR_4641,0.0,2.038502365814949
HMR_4680,-2.1074276880432183,2.1074276880432183
HMR_6625,0.0,2.5483245276143487
HMR_6626,0.0,2.3664625738176035
HMR_7160,0.0,4.7346408746756925
HMR_7161,0.0,4.070011463099018
HMR_7162,0.0,4.070011463099018
HMR_7163,0.0,1.6855338387255294
HMR_7164,0.0,1.6855338387255294
HMR_7713,0.0,4.571515910633652
HMR_7716,0.0,4.571515910633652
HMR_7717,0.0,4.571515910633652
HMR_7721,0.0,4.571515910633652
HMR_7725,0.0,4.571515910633652
HMR_7728,0.0,4.571515910633652
HMR_7801,-4.366998437376125,4.366998437376125
HMR_7863,-4.811140396002265,4.811140396002265
HMR_7864,-4.811140396002265,4.811140396002265
HMR_7865,-4.811140396002265,4.811140396002265
HMR_7866,-4.811140396002265,4.811140396002265
HMR_7867,-4.811140396002265,4.811140396002265
HMR_7868,-4.811140396002265,4.811140396002265
HMR_7869,-4.811140396002265,4.811140396002265
HMR_7870,-4.811140396002265,4.811140396002265
HMR_7871,-4.811140396002265,4.811140396002265
HMR_7872,-4.811140396002265,4.811140396002265
HMR_7873,-4.811140396002265,4.811140396002265
HMR_7874,-4.811140396002265,4.811140396002265
HMR_7875,-2.3737439916162555,2.3737439916162555
HMR_7876,-4.811140396002265,4.811140396002265
HMR_7878,-3.6429503988765815,3.6429503988765815
HMR_7879,0.0,2.8041243920060164
HMR_7880,0.0,2.3664625738176035
HMR_7881,-2.2563476166849212,2.2563476166849212
HMR_7882,-2.2563476166849212,2.2563476166849212
HMR_7883,-3.6429503988765815,3.6429503988765815
HMR_7884,-2.2563476166849212,2.2563476166849212
HMR_7885,-2.2563476166849212,2.2563476166849212
HMR_7886,-3.6429503988765815,3.6429503988765815
HMR_7887,-2.2563476166849212,2.2563476166849212
HMR_7888,-2.2563476166849212,2.2563476166849212
HMR_7889,-2.2563476166849212,2.2563476166849212
HMR_7890,-3.6429503988765815,3.6429503988765815
HMR_7891,-2.2563476166849212,2.2563476166849212
HMR_7892,-2.2563476166849212,2.2563476166849212
HMR_7893,-2.2563476166849212,2.2563476166849212
HMR_8083,0.0,4.5443422095196695
HMR_8085,0.0,4.5443422095196695
HMR_8087,0.0,4.5443422095196695
HMR_8443,0.0,3.909405683226712
HMR_8444,0.0,3.909405683226712
HMR_8445,0.0,3.3898878695404706
HMR_8448,-4.811140396002265,4.811140396002265
HMR_8449,-4.811140396002265,4.811140396002265
HMR_8450,-4.811140396002265,4.811140396002265
HMR_8451,-4.811140396002265,4.811140396002265
HMR_8452,-4.811140396002265,4.811140396002265
HMR_8453,-4.811140396002265,4.811140396002265
HMR_8454,-4.811140396002265,4.811140396002265
HMR_8455,-4.811140396002265,4.811140396002265
HMR_8456,-4.811140396002265,4.811140396002265
HMR_8457,-4.811140396002265,4.811140396002265
