rxn,LB,UB
HMR_7881,-1.9614941415780058,1.9614941415780058
HMR_7882,-1.9614941415780058,1.9614941415780058
HMR_7883,-3.2357672642558892,3.2357672642558892
HMR_7884,-1.9614941415780058,1.9614941415780058
HMR_7885,-1.9614941415780058,1.9614941415780058
HMR_7886,-3.2357672642558892,3.2357672642558892
HMR_7887,-1.9614941415780058,1.9614941415780058
HMR_7888,-1.9614941415780058,1.9614941415780058
HMR_7889,-1.9614941415780058,1.9614941415780058
HMR_7890,-3.2357672642558892,3.2357672642558892
HMR_7891,-1.9614941415780058,1.9614941415780058
HMR_7892,-1.9614941415780058,1.9614941415780058
HMR_7893,-1.9614941415780058,1.9614941415780058
HMR_8083,0.0,4.383934182711999
HMR_8085,0.0,4.383934182711999
HMR_8087,0.0,4.383934182711999
HMR_8443,0.0,3.801350203046373
HMR_8444,0.0,3.801350203046373
HMR_8445,0.0,3.184788960850834
HMR_8448,-4.650070304843817,4.650070304843817
HMR_8449,-4.650070304843817,4.650070304843817
HMR_8450,-4.650070304843817,4.650070304843817
HMR_8451,-4.650070304843817,4.650070304843817
HMR_8452,-4.650070304843817,4.650070304843817
HMR_8453,-4.650070304843817,4.650070304843817
HMR_8454,-4.650070304843817,4.650070304843817
HMR_8455,-4.650070304843817,4.650070304843817
HMR_8456,-4.650070304843817,4.650070304843817
HMR_8457,-4.650070304843817,4.650070304843817
HMR_8458,-4.650070304843817,4.650070304843817
HMR_8459,-4.650070304843817,4.650070304843817
HMR_8460,-4.650070304843817,4.650070304843817
HMR_8462,-4.650070304843817,4.650070304843817
HMR_8463,-4.650070304843817,4.650070304843817
HMR_8464,-4.650070304843817,4.650070304843817
HMR_8465,-4.650070304843817,4.650070304843817
HMR_8466,-4.650070304843817,4.650070304843817
HMR_8467,-4.650070304843817,4.650070304843817
HMR_8468,-4.650070304843817,4.650070304843817
HMR_8469,-4.650070304843817,4.650070304843817
HMR_8470,-4.650070304843817,4.650070304843817
HMR_8471,-4.650070304843817,4.650070304843817
HMR_8472,-4.650070304843817,4.650070304843817
HMR_8473,0.0,1.091755769706287
HMR_8474,0.0,4.50420337349414
HMR_8477,-1.7276180603420865,1.7276180603420865
HMR_8478,-1.7276180603420865,1.7276180603420865
HMR_8479,-1.7276180603420865,1.7276180603420865
